Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Name of Subject :-,Database Management System,DEPT :-,Computer Engineering,,,,,,,,
,,,,,,,,,,,
Year(SE/TE/BE):-,SE,Subject Code:-,"PCC-CS301
",,,,,,,,
,,,,,,,,,,,
Faculty Incharge:-,Dr. Rashmi Thakur / Ms. Deepali Joshi / Mr. Loukik Salvi,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Name of Subject :-,,Software Engineering,IT,,,,,,,,
Year(SE/TE/BE):-,TE,Subject Code:-,PCC- IT 602,,,,,,,,
ACADEMIC YEAR :-,2025-26 (MAY 2026),SEMESTER:-,VI,,,Scheme:-,CBCGS-HME 2023,,,,
Faculty Incharge:-,"Dr. Sangeeta Vhatkar, Mrs. Purvi Sankhe, Mrs. Pratibha Prasad",,,,,,,,,,
"Module 1:-
The Software Process","CO1:-Understand and explain the fundamentals of software engineering, the software process frameworks, and umbrella activities to manage and improve software development.",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sr No.,Questions,CO,RBT,WK,Pi,Marks,Type,,,,
1,Elaborate on the definition of software and its key characteristics.,CO1,U,WK3,1.7.1,2,T,Table 1,,,
2,Summarize the evolving role of software in modern technological contexts.,CO1,U,WK8,3.5.1,2,T,MODULE NO,CO,Name of the Module,No of hours
3,Apply the concept of process assessment to outline its importance in software engineering.,CO1,A,WK4,1.6,2,T,1,CO1,The Software Process,5
4,Describe the purpose of Personal Software Process (PSP) and its role in individual productivity.,CO1,U,WK4,1.7.1,2,T,2,CO2,Traditional & Agile Software Development,9
5,Illustrate the significance of SDLC by applying it to a software engineering context.,CO1,A,WK3,3.5.1,2,T,3,CO3,Requirements Analysis with Cost Estimation,9
6,Categorize different umbrella activities in software development and justify their relevance.,CO1,A,WK4,2.8.1,2,T,4,CO4,Design Engineering,6
7,Distinguish between different types of process patterns and classify them with suitable examples.,CO1,AN,WK9,3.6.1,2,T,5,CO5,Risk Management & Software Configuration Management,7
8,Apply the concept of Layered Technology to illustrate how each layer contributes to software engineering. Explain with a suitable diagram.,CO1,A,WK3,3.5,5,T,6,CO6,Software Testing with Quality Assurance,9
9,Apply the Process Framework model to a real-world software project scenario. Justify its essential role in managing software development.,CO1,A,WK4,7.4,5,T,,,,
10,Design a process pattern template for a software project and demonstrate how task and stage patterns are used in it.,CO1,C,WK9,3.5,5,T,Table 2,,,
11,Classify different types of software and construct a comparison illustrating the distinction between system software and application software.,CO1,A,WK3,2.5.1,5,T,MODULE NO,CO,Percentage of Theory,Percentage of Numerical
12,Analyze the significance of ISO standards in improving software process quality. Examine how organizations benefit from ISO compliance.,CO1,AN,WK8,12.5,5,T,1,CO1,100,0
